Package,Item,Title,Rows,Cols,has_logical,has_binary,has_numeric,has_character,CSV,Doc
boot,acme,Monthly Excess Returns,60,3,FALSE,FALSE,TRUE,TRUE,CSV,DOC
boot,aids,Delay in AIDS Reporting in England and Wales,570,6,FALSE,TRUE,TRUE,FALSE,CSV,DOC
boot,aircondit,Failures of Air-conditioning Equipment,12,1,FALSE,FALSE,TRUE,FALSE,CSV,DOC
boot,aircondit7,Failures of Air-conditioning Equipment,24,1,FALSE,FALSE,TRUE,FALSE,CSV,DOC
boot,amis,Car Speeding and Warning Signs,8437,4,FALSE,TRUE,TRUE,FALSE,CSV,DOC
boot,aml,Remission Times for Acute Myelogenous Leukaemia,23,3,FALSE,TRUE,TRUE,FALSE,CSV,DOC
boot,beaver,Beaver Body Temperature Data,100,4,FALSE,TRUE,TRUE,FALSE,CSV,DOC
boot,bigcity,Population of U.S. Cities,49,2,FALSE,FALSE,TRUE,FALSE,CSV,DOC
boot,brambles,Spatial Location of Bramble Canes,823,3,FALSE,FALSE,TRUE,FALSE,CSV,DOC
boot,breslow,Smoking Deaths Among Doctors,10,5,FALSE,TRUE,TRUE,FALSE,CSV,DOC
boot,calcium,Calcium Uptake Data,27,2,FALSE,FALSE,TRUE,FALSE,CSV,DOC
boot,cane,Sugar-cane Disease Data,180,5,FALSE,FALSE,TRUE,FALSE,CSV,DOC
boot,capability,Simulated Manufacturing Process Data,75,1,FALSE,FALSE,TRUE,FALSE,CSV,DOC
boot,catsM,Weight Data for Domestic Cats,97,3,FALSE,FALSE,TRUE,FALSE,CSV,DOC
boot,cav,Position of Muscle Caveolae,138,2,FALSE,FALSE,TRUE,FALSE,CSV,DOC
boot,cd4,CD4 Counts for HIV-Positive Patients,20,2,FALSE,FALSE,TRUE,FALSE,CSV,DOC
boot,cd4.nested,Nested Bootstrap of cd4 data,999,2,FALSE,FALSE,TRUE,FALSE,CSV,DOC
boot,channing,Channing House Data,462,5,FALSE,TRUE,TRUE,FALSE,CSV,DOC
boot,city,Population of U.S. Cities,10,2,FALSE,FALSE,TRUE,FALSE,CSV,DOC
boot,claridge,Genetic Links to Left-handedness,37,2,FALSE,FALSE,TRUE,FALSE,CSV,DOC
boot,cloth,Number of Flaws in Cloth,32,2,FALSE,FALSE,TRUE,FALSE,CSV,DOC
boot,co.transfer,Carbon Monoxide Transfer,7,2,FALSE,FALSE,TRUE,FALSE,CSV,DOC
boot,coal,Dates of Coal Mining Disasters,191,1,FALSE,FALSE,TRUE,FALSE,CSV,DOC
boot,darwin,Darwin's Plant Height Differences,15,1,FALSE,FALSE,TRUE,FALSE,CSV,DOC
boot,dogs,Cardiac Data for Domestic Dogs,7,2,FALSE,FALSE,TRUE,FALSE,CSV,DOC
